dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,5.0,4096,0,latent_smote,2732,683,3415,0.9031381873854922,0.7762589875832929,0.7359912067592698,0.6234259099534242,0.10483911955872353,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,5.0,4096,0,latent_displacement,2732,683,3415,0.8995824405595483,0.7674685861316101,0.7345765561719388,0.6203576341127923,0.10674902723739144,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,256,0,real_balanced,0,230,230,0.8685442085952846,0.6832040591782791,0.7837112950611623,0.6329403685475564,0.16564431934368767,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,256,0,direct_smote,207,23,230,0.8377145670027738,0.6441757739253625,0.7082455528312689,0.565065224307986,0.16049193808044318,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,256,0,direct_displacement,207,23,230,0.8525103462308473,0.6652867725603763,0.7233589257411623,0.5865237366003063,0.15401097133814823,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,256,0,latent_smote,207,23,230,0.8376647478842995,0.6236043162423975,0.6906055292517548,0.5390239755143683,0.15685470463298828,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,256,0,latent_displacement,207,23,230,0.840808073266191,0.6338472318287326,0.6832898079192797,0.5269210663878725,0.15364727828034644,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,512,0,real_balanced,0,470,470,0.8933800626600154,0.752921873645948,0.8073875176676198,0.6637372802960222,0.14645520261413622,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,512,0,direct_smote,423,47,470,0.8603187446134837,0.6913152800659966,0.7085103464355482,0.5700418410041841,0.1508673172584451,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,512,0,direct_displacement,423,47,470,0.8673881977868643,0.7093872958000328,0.7163678986582409,0.5842131724484666,0.143840068878767,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,512,0,latent_smote,423,47,470,0.8671690653109452,0.7112876444118653,0.6870084456071691,0.537843393758176,0.1413726608607055,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,512,0,latent_displacement,423,47,470,0.865838380536287,0.7061919700269796,0.6812383707413417,0.5265727699530517,0.14274704378155337,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,1024,0,real_balanced,0,930,930,0.9003908689820641,0.7637511769701213,0.8155279155685948,0.6718571101442637,0.1370579492298931,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,1024,0,direct_smote,837,93,930,0.8736867979745445,0.71766418564694,0.7137330634827601,0.5807875084860828,0.13605250711335748,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,1024,0,direct_displacement,837,93,930,0.8767656169374972,0.7290512494414553,0.728220844390815,0.6034995047870584,0.12774649367457236,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,1024,0,latent_smote,837,93,930,0.8738385070415371,0.7188467981473144,0.6753660604939713,0.516003879728419,0.14066315258532955,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,1024,0,latent_displacement,837,93,930,0.8748686906721976,0.7246287463616459,0.6795018277501036,0.5243055555555556,0.1393627274780833,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,2048,0,real_balanced,0,1860,1860,0.9113210863423407,0.7918688316676052,0.8250325820105338,0.688048694837879,0.12250365042018994,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,2048,0,direct_smote,1674,186,1860,0.8831891743234669,0.723792274072222,0.7242840209693711,0.5965665236051502,0.12420590757207697,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,2048,0,direct_displacement,1674,186,1860,0.8813569719719738,0.731331659757364,0.740499107733703,0.6171375058529733,0.12025286627792464,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,2048,0,latent_smote,1674,186,1860,0.8889755357167255,0.7382963740723796,0.6741032597056061,0.5135398402493668,0.13096221176716918,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,2048,0,latent_displacement,1674,186,1860,0.8903423246393897,0.7438591115749121,0.6753672503188347,0.5163437071834018,0.12936370524330662,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,4096,0,real_balanced,0,3720,3720,0.9202673411088687,0.809412887510184,0.8364439747806258,0.7026139960145352,0.1154971497270908,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,4096,0,direct_smote,3348,372,3720,0.8937676641015407,0.7592857469679247,0.7460669507541979,0.6309523809523809,0.10984080740584212,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,4096,0,direct_displacement,3348,372,3720,0.8941015187231609,0.7595883363881996,0.7730687466477004,0.6614359733530718,0.10889164912421379,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,4096,0,latent_smote,3348,372,3720,0.8974308917734793,0.7619847879983314,0.6756226660561799,0.5176893863681791,0.12021363035374627,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,10.0,4096,0,latent_displacement,3348,372,3720,0.8958954291841572,0.7588686204330194,0.6818067232115793,0.5299313052011776,0.1200051151524396,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,1,real_balanced,0,170,170,0.8845083958392259,0.7253648465450048,0.7971930214750338,0.6528134485173943,0.14605165729194447,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,256,1,direct_smote,85,85,170,0.8832936486227636,0.7167193463424091,0.783133782218858,0.6555086979441223,0.13264326885011157,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,256,1,direct_displacement,85,85,170,0.8761646018556867,0.6905697366690082,0.7754474624259705,0.6412075861179203,0.1385872417466691,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,256,1,latent_smote,85,85,170,0.8671851087558777,0.6692152971878926,0.7584573135105611,0.6269764883816857,0.13500988659593832,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,256,1,latent_displacement,85,85,170,0.8783339212518124,0.7111687641487049,0.7680630255091798,0.6410891089108911,0.12920359040900137,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,512,1,real_balanced,0,342,342,0.8871386764163048,0.7301811341274324,0.8018450064022813,0.6537194775695627,0.15438968967182032,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,512,1,direct_smote,171,171,342,0.8793746597804548,0.7070572158347114,0.7800283521191753,0.6476436410587476,0.1424193913006619,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
