dataset_key,imbalance_ratio,method,training_size,metric,method_score,real_equivalent_size,real_equivalent_fraction
bank_marketing,3.0,direct_smote,4096,roc_auc,0.9212061934081912,1988.7437947485287,0.4855331530147775
bank_marketing,3.0,latent_displacement,4096,roc_auc,0.921624799243709,2027.5729342973082,0.49501292341242875
bank_marketing,3.0,latent_smote,4096,roc_auc,0.9217400353407884,2038.2620315694921,0.49762256630114554
bank_marketing,5.0,direct_displacement,1024,roc_auc,0.8903910688092104,430.36610315059784,0.4202793976080057
bank_marketing,5.0,direct_smote,1024,roc_auc,0.8921477386372609,454.67511528403946,0.4440186672695698
bank_marketing,5.0,latent_displacement,1024,roc_auc,0.8915905795917706,446.9650802047029,0.43648933613740515
bank_marketing,5.0,latent_smote,1024,roc_auc,0.890272102605398,428.71983425830786,0.41867171314287877
bank_marketing,5.0,direct_displacement,2048,roc_auc,0.9070639382908819,819.4063481969247,0.40010075595552963
bank_marketing,5.0,direct_smote,2048,roc_auc,0.9056297517101015,778.4845254655468,0.380119397199974
bank_marketing,5.0,latent_displacement,2048,roc_auc,0.9048501699250385,756.2406221683906,0.36925811629315947
bank_marketing,5.0,latent_smote,2048,roc_auc,0.9055544945708007,776.3372042208719,0.3790709004984726
bank_marketing,5.0,direct_displacement,4096,roc_auc,0.9193480452109981,1518.6817528816025,0.37077191232461
bank_marketing,5.0,direct_smote,4096,roc_auc,0.917582121140714,1347.8528624370692,0.3290656402434251
bank_marketing,5.0,latent_displacement,4096,roc_auc,0.9191797379550039,1502.4003383637983,0.3667969576083492
bank_marketing,5.0,latent_smote,4096,roc_auc,0.9180063195057908,1388.888225878712,0.33908403952116994
bank_marketing,10.0,direct_displacement,2048,roc_auc,0.8952095012605288,435.3231899998948,0.21256015136713613
bank_marketing,10.0,direct_smote,2048,roc_auc,0.8943090461296354,423.0726169699617,0.2065784262548641
bank_marketing,10.0,latent_displacement,2048,roc_auc,0.8938631484342048,417.0062377642247,0.20361632703331284
bank_marketing,10.0,latent_smote,2048,roc_auc,0.8934171954974192,410.93910700715435,0.20065386084333708
