dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
bank_marketing,5.0,mid,direct_displacement,direct_smote,-0.0004330181296691493,-0.0018487175662440757,0.0010128373324302723,10,True
bank_marketing,5.0,mid,latent_smote,direct_smote,-0.0010985287087656337,-0.00337694583507984,0.0011810857958394676,10,True
bank_marketing,5.0,mid,latent_displacement,direct_displacement,-0.0004392314668365982,-0.001779770315915709,0.001050399722060661,10,True
bank_marketing,5.0,mid,direct_smote,real_balanced,-0.021725705908669724,-0.02403417908900058,-0.01937242111652891,10,False
bank_marketing,5.0,mid,direct_displacement,real_balanced,-0.02215872403833887,-0.02432933173068527,-0.020143913002441925,10,False
bank_marketing,5.0,mid,latent_smote,real_balanced,-0.02282423461743536,-0.026188198865616182,-0.019868287576919094,10,False
bank_marketing,5.0,mid,latent_displacement,real_balanced,-0.02259795550517547,-0.025099604613070512,-0.0199647660554045,10,False
bank_marketing,10.0,early,latent_displacement,latent_smote,0.0006072471712348704,-0.005139137453065306,0.0066135838018457896,10,True
bank_marketing,10.0,early,direct_displacement,direct_smote,-0.000396517185138312,-0.00550715246650804,0.005071069680182568,10,True
bank_marketing,10.0,early,latent_smote,direct_smote,-0.0006441641796219311,-0.008320343032768247,0.008237057055744141,10,True
bank_marketing,10.0,early,latent_displacement,direct_displacement,0.00035960017675125134,-0.004430556033437178,0.004854514986427168,10,True
bank_marketing,10.0,early,direct_smote,real_balanced,-0.05104433650108312,-0.05813877337965402,-0.04305025354729733,10,False
bank_marketing,10.0,early,direct_displacement,real_balanced,-0.051440853686221436,-0.05821974872259625,-0.041908994083072214,10,False
bank_marketing,10.0,early,latent_smote,real_balanced,-0.05168850068070505,-0.059961607784380214,-0.04327446012229177,10,False
bank_marketing,10.0,early,latent_displacement,real_balanced,-0.05108125350947018,-0.05814287774656734,-0.04453395670308866,10,False
bank_marketing,10.0,full,latent_displacement,latent_smote,0.0022832376140946354,0.0008366549127092629,0.003927414593489303,10,True
bank_marketing,10.0,full,direct_displacement,direct_smote,0.0011328960217227735,-0.00015843675698735515,0.0021989978468498297,10,True
bank_marketing,10.0,full,latent_smote,direct_smote,-0.0025334388636120255,-0.0036557734638488705,-0.0014931646999779237,10,True
bank_marketing,10.0,full,latent_displacement,direct_displacement,-0.0013830972712401634,-0.0026568132332928105,-0.00012196659635940496,10,True
bank_marketing,10.0,full,direct_smote,real_balanced,-0.031613023102092484,-0.0333915503296883,-0.02928671682862284,10,False
bank_marketing,10.0,full,direct_displacement,real_balanced,-0.030480127080369714,-0.03316494132789385,-0.02774906772760235,10,False
bank_marketing,10.0,full,latent_smote,real_balanced,-0.03414646196570451,-0.03605875882197862,-0.032155125162705474,10,False
bank_marketing,10.0,full,latent_displacement,real_balanced,-0.031863224351609876,-0.03428686175387937,-0.029234788639648648,10,False
bank_marketing,10.0,mid,latent_displacement,latent_smote,0.0027816468647452906,-9.036071763047712e-05,0.005826655453636086,10,True
bank_marketing,10.0,mid,direct_displacement,direct_smote,0.00022696656023323268,-0.0014115849640011218,0.001807032658969638,10,True
bank_marketing,10.0,mid,latent_smote,direct_smote,-0.004466550281023296,-0.006908798403724746,-0.00209795284832931,10,True
bank_marketing,10.0,mid,latent_displacement,direct_displacement,-0.0019118699765112378,-0.0036500371292053665,-7.268967676043385e-05,10,True
bank_marketing,10.0,mid,direct_smote,real_balanced,-0.03529552029263118,-0.038592040293763306,-0.03176626291680984,10,False
bank_marketing,10.0,mid,direct_displacement,real_balanced,-0.03506855373239794,-0.039117440612956675,-0.030908074020767652,10,False
bank_marketing,10.0,mid,latent_smote,real_balanced,-0.039762070573654475,-0.04262592287698309,-0.0367710070750672,10,False
bank_marketing,10.0,mid,latent_displacement,real_balanced,-0.03698042370890918,-0.040641782016753884,-0.03324679970170375,10,False
default_credit,2.0,early,latent_displacement,latent_smote,0.0024111909929394938,-0.0020509500090971234,0.006353666088997033,10,True
default_credit,2.0,early,direct_displacement,direct_smote,0.003564959782281785,0.0006422673879368338,0.007048723957122212,10,True
default_credit,2.0,early,latent_smote,direct_smote,-0.00308876568900186,-0.006202134799205965,0.00036087351169860607,10,True
default_credit,2.0,early,latent_displacement,direct_displacement,-0.004242534478344151,-0.00847979017291325,-0.0008764598974024592,10,True
default_credit,2.0,early,direct_smote,real_balanced,-0.010577759354962912,-0.015331761913128935,-0.006157586350017516,10,False
default_credit,2.0,early,direct_displacement,real_balanced,-0.0070127995726811275,-0.011275993208917912,-0.003314886582286856,10,True
default_credit,2.0,early,latent_smote,real_balanced,-0.013666525043964772,-0.018868654934507265,-0.008011220138576214,10,False
default_credit,2.0,early,latent_displacement,real_balanced,-0.011255334051025278,-0.016412614344088992,-0.0061410414671700594,10,False
default_credit,2.0,full,latent_displacement,latent_smote,-0.00011282652375120828,-0.0018741138220388566,0.0017923643865889376,10,True
default_credit,2.0,full,direct_displacement,direct_smote,0.002763227671427815,0.0016393315295010554,0.00419204434591607,10,True
default_credit,2.0,full,latent_smote,direct_smote,-0.0006626952355175408,-0.002693093366694988,0.0018265131277364927,10,True
default_credit,2.0,full,latent_displacement,direct_displacement,-0.003538749430696564,-0.0048055369012412925,-0.002198373025311036,10,True
default_credit,2.0,full,direct_smote,real_balanced,-0.01307124044694683,-0.014936192529434733,-0.011307278834796562,10,False
default_credit,2.0,full,direct_displacement,real_balanced,-0.010308012775519015,-0.011852580692155883,-0.008698013400030008,10,False
default_credit,2.0,full,latent_smote,real_balanced,-0.01373393568246437,-0.015457822829355025,-0.01170257402903353,10,False
default_credit,2.0,full,latent_displacement,real_balanced,-0.01384676220621558,-0.015745752850661474,-0.012058075134056045,10,False
default_credit,2.0,mid,latent_displacement,latent_smote,-0.00105906084681201,-0.0035233450208489465,0.001524929966749882,10,True
default_credit,2.0,mid,direct_displacement,direct_smote,0.0031096316885346085,0.0012468699955669555,0.005028275662748943,10,True
default_credit,2.0,mid,latent_smote,direct_smote,0.0010615181643118365,-0.0014472305279354305,0.0038185189095925917,10,True
